Date début;Date fin;Période;Lieu
2007-08-01;2007-08-07;Été;Ouessant
2009-04-11;2009-04-13;Pâques;Lorient
2009-04-18;2009-04-20;Pâques;Lorient
2009-07-04;2009-07-18;Été;Camaret - Conquet
2009-10-24;2009-10-31;Toussaint;Cavalaire
2010-04-03;2010-04-11;Pâques;Marseille
2010-05-13;2010-05-16;Ascension;Lorient
2010-05-22;2010-05-24;Pentecôte;Lorient
2010-08-16;2010-08-24;Été;Camaret
2010-10-23;2010-10-30;Toussaint;Cavalaire
2011-04-24;2011-05-01;Pâques;Marseille
2011-06-02;2011-06-04;Ascension;Lorient
2011-08-17;2011-08-27;Été;Lot
2011-10-22;2011-10-29;Toussaint;Giens
2012-04-22;2012-04-28;Pâques;Cavalaire
2012-05-17;2012-05-20;Ascension;Lorient
2012-07-07;2012-07-15;Été;Lanildut
2013-04-20;2013-04-27;Pâques;Cavalaire
2013-08-17;2013-08-23;Été;Banyuls
2013-10-26;2013-11-02;Toussaint;Cavalaire
2014-04-26;2014-05-02;Pâques;Marseille
2014-05-29;2014-06-01;Ascension;Oléron
2014-08-14;2014-08-23;Été;Lanildut
2014-10-25;2014-11-01;Toussaint;Cavalaire
2015-05-02;2015-05-08;Pâques;Marseille
2015-07-18;2015-07-27;Été;Ouessant
2015-10-24;2015-10-31;Toussaint;Lot
2016-04-16;2016-04-22;Pâques;Marseille
2016-05-14;2016-05-16;Pentecôte;Lorient
2016-07-23;2016-07-30;Été;Ouessant
2016-10-23;2016-10-23;Toussaint;Cavalaire
2017-04-22;2017-04-29;Pâques;Giens
2017-06-03;2017-06-05;Pentecôte;Lorient
2017-07-30;2017-08-04;Été;Lanildut
2017-10-28;2017-11-04;Toussaint;Cavalaire
2018-04-14;2018-04-21;Pâques;La Londe
2018-05-19;2018-05-21;Ascension;Lorient
2018-07-21;2018-07-28;Été;Camaret
2018-10-27;2018-11-03;Toussaint;Cavalaire
2019-04-20;2019-04-27;Pâques;Marseille
2019-07-20;2019-07-27;Été;Ouessant
2019-10-23;2019-10-31;Toussaint;La Londe
2020-07-25;2020-08-01;Été;Lorient
2020-10-24;2020-10-31;Toussaint;La Londe
2021-07-31;2021-08-07;Été;Lanildut
2021-10-30;2021-11-06;Toussaint;Marseille
2022-04-23;2022-04-30;Pâques;Cavalaire
2022-07-23;2022-07-30;Été;Lorient
2022-10-29;2022-11-04;Toussaint;La Londe
2023-04-15;2023-04-22;Pâques;Cavalaire
2023-07-22;2023-07-29;Été;Lanildut
2023-10-28;2023-11-04;Toussaint;La Londe
